epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,477.495,1.38015,0.75355,1.32395,0.9596,0.95024,0.98635,0.60385,1.39017,0.71162,1.36868,0.0011684,0.0011684,0.0011684
44,487.159,1.39048,0.7823,1.38489,0.94712,0.9553,0.98703,0.60404,1.36228,0.72141,1.36754,0.0011486,0.0011486,0.0011486
45,501.197,1.41479,0.74418,1.34925,0.97172,0.91645,0.97764,0.57536,1.43718,0.77993,1.40279,0.0011288,0.0011288,0.0011288
46,524.963,1.38836,0.76552,1.35237,0.94139,0.97333,0.98726,0.59064,1.33441,0.72601,1.34344,0.001109,0.001109,0.001109
47,551.253,1.38488,0.74875,1.34454,0.95455,0.97333,0.98896,0.60014,1.34973,0.69172,1.37119,0.0010892,0.0010892,0.0010892
48,580.768,1.29547,0.7751,1.26748,0.97267,0.9491,0.98794,0.59293,1.43753,0.72293,1.43989,0.0010694,0.0010694,0.0010694
49,595.244,1.39499,0.76717,1.35645,0.88173,0.97333,0.97473,0.56291,1.35508,0.79426,1.34175,0.0010496,0.0010496,0.0010496
50,604.796,1.38238,0.75116,1.33853,0.90219,0.93333,0.96753,0.59318,1.40584,0.78114,1.41457,0.0010298,0.0010298,0.0010298
51,615.18,1.31564,0.71989,1.27011,0.97319,0.96799,0.98829,0.61673,1.31095,0.66054,1.34581,0.00101,0.00101,0.00101
52,625.054,1.32341,0.7131,1.28634,0.94883,0.98895,0.98926,0.61322,1.3495,0.64694,1.34166,0.0009902,0.0009902,0.0009902
53,638.396,1.31204,0.69346,1.2821,0.93517,0.96161,0.97808,0.62102,1.34927,0.67074,1.32073,0.0009704,0.0009704,0.0009704
54,662.702,1.31687,0.70468,1.29898,0.96424,0.97333,0.98585,0.60024,1.42106,0.69522,1.40927,0.0009506,0.0009506,0.0009506
55,689.048,1.31007,0.70355,1.30271,0.95983,0.95571,0.98441,0.5913,1.37111,0.67248,1.37118,0.0009308,0.0009308,0.0009308
56,700.557,1.33158,0.70843,1.2901,0.94814,0.97503,0.98527,0.64953,1.31439,0.64904,1.31216,0.000911,0.000911,0.000911
57,727.794,1.32807,0.76292,1.31059,0.93556,0.98667,0.98852,0.60449,1.39384,0.70645,1.37566,0.0008912,0.0008912,0.0008912
58,755.265,1.25642,0.73599,1.24881,0.96035,0.96875,0.98282,0.5716,1.38689,0.68704,1.3683,0.0008714,0.0008714,0.0008714
59,781.881,1.31079,0.73681,1.3034,0.98999,0.94667,0.99203,0.59018,1.45405,0.66732,1.43662,0.0008516,0.0008516,0.0008516
60,808.006,1.3419,0.70758,1.31639,0.93707,0.96,0.98691,0.61729,1.30572,0.64983,1.31173,0.0008318,0.0008318,0.0008318
61,834.834,1.32495,0.6779,1.34652,0.94773,0.96704,0.98846,0.65242,1.25286,0.61846,1.29396,0.000812,0.000812,0.000812
